dataset,cities,pop_size,crossover_rate,mutation_rate,avg_length,std_length,avg_time
kroA100.tsp,100,50,0.6,0.1,44586.21836952022,2467.605804618557,0.9464550256729126
kroA100.tsp,100,50,0.6,0.2,36262.359332580134,1890.8150873472662,0.9525338888168335
kroA100.tsp,100,50,0.6,0.3,34276.53976427256,1914.100268245244,0.9575626611709595
kroA100.tsp,100,50,0.8,0.1,43723.352906733126,1693.5829912547847,1.0862480878829956
kroA100.tsp,100,50,0.8,0.2,37103.07897420822,1843.6851288131718,1.0940408945083617
kroA100.tsp,100,50,0.8,0.3,33960.48423280901,1854.2900557643136,1.1016563653945923
kroA100.tsp,100,50,1.0,0.1,40576.612451527006,2296.8438942614603,1.2323124408721924
kroA100.tsp,100,50,1.0,0.2,36796.49385262687,1534.7875279391544,1.2409197092056274
kroA100.tsp,100,50,1.0,0.3,34860.01998541137,1575.1941582561797,1.2499135494232179
kroA100.tsp,100,100,0.6,0.1,34198.63966341152,1798.5384498650494,1.8968069791793822
kroA100.tsp,100,100,0.6,0.2,31046.804076278127,920.7971536485267,1.9088384628295898
kroA100.tsp,100,100,0.6,0.3,28617.841941402534,1437.852782383151,1.919901466369629
kroA100.tsp,100,100,0.8,0.1,33629.07823951749,1105.8211589151879,2.18400297164917
kroA100.tsp,100,100,0.8,0.2,30535.291884888633,1170.1237187878296,2.195074033737183
kroA100.tsp,100,100,0.8,0.3,29224.99188718167,1807.3053647134836,2.2066425561904905
kroA100.tsp,100,100,1.0,0.1,34540.99626104061,1191.709339332764,2.4788952112197875
kroA100.tsp,100,100,1.0,0.2,31850.950593729467,1528.225860237507,2.5009955883026125
kroA100.tsp,100,100,1.0,0.3,31207.457491725363,1952.2560586553768,2.539178252220154
kroA100.tsp,100,200,0.6,0.1,28755.826196844242,1228.0762832998205,3.790078115463257
kroA100.tsp,100,200,0.6,0.2,26202.508879178895,746.4370056636232,3.8150217294692994
kroA100.tsp,100,200,0.6,0.3,25209.411124288206,945.2890830463115,3.843195390701294
kroA100.tsp,100,200,0.8,0.1,28303.293101677635,1460.3187037004075,4.380080509185791
kroA100.tsp,100,200,0.8,0.2,27042.43573014567,825.977803890345,4.413206028938293
kroA100.tsp,100,200,0.8,0.3,26023.97899308115,857.4992879960857,4.436610984802246
kroA100.tsp,100,200,1.0,0.1,30541.236285664363,1505.396063421577,5.063867425918579
kroA100.tsp,100,200,1.0,0.2,31275.750218848076,6009.176508991562,5.16853096485138
kroA100.tsp,100,200,1.0,0.3,51902.79534394346,14530.743519487918,5.441168284416198
